season,district,role,model_key,n,overall_accuracy,source_file,training_schema_version,c_vegetation_vegetation,c_vegetation_water,c_vegetation_builtarea,c_vegetation_openland,c_vegetation_agriculture,c_water_vegetation,c_water_water,c_water_builtarea,c_water_openland,c_water_agriculture,c_builtarea_vegetation,c_builtarea_water,c_builtarea_builtarea,c_builtarea_openland,c_builtarea_agriculture,c_openland_vegetation,c_openland_water,c_openland_builtarea,c_openland_openland,c_openland_agriculture,c_agriculture_vegetation,c_agriculture_water,c_agriculture_builtarea,c_agriculture_openland,c_agriculture_agriculture
summer,Anuppur,test,after-cart,100,0.51,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,5,7,0,0,8,0,20,0,0,0,1,0,19,0,0,0,2,14,4,0,1,0,9,7,3
summer,Anuppur,test,after-gtb,100,0.64,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,9,3,0,0,8,0,20,0,0,0,0,0,20,0,0,0,4,4,11,1,2,0,5,9,4
summer,Anuppur,test,after-gtb-b19,100,0.61,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,6,6,0,0,8,0,20,0,0,0,0,0,20,0,0,0,2,3,12,3,2,0,4,11,3
summer,Anuppur,test,after-gtb-b22,100,0.64,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,8,3,0,0,9,0,20,0,0,0,0,0,20,0,0,0,3,3,13,1,1,0,4,12,3
summer,Anuppur,test,after-gtb-b27,100,0.62,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,10,5,0,0,5,0,20,0,0,0,0,0,20,0,0,0,5,3,8,4,2,0,3,11,4
summer,Anuppur,test,after-knn,100,0.56,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,7,1,0,0,12,0,20,0,0,0,0,0,20,0,0,0,4,4,9,3,3,0,7,10,0
summer,Anuppur,test,after-rf,100,0.57,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,5,8,0,0,7,0,20,0,0,0,0,0,19,0,1,0,5,3,10,2,2,0,5,10,3
summer,Anuppur,test,after-svm,100,0.64,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,9,1,0,0,10,0,20,0,0,0,0,0,20,0,0,0,4,2,13,1,3,0,6,9,2
summer,Ashoknagar,test,after-cart,100,0.66,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,5,0,0,0,15,0,20,0,0,0,0,0,20,0,0,0,1,8,11,0,0,1,7,2,10
summer,Ashoknagar,test,after-gtb,100,0.81,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,10,0,0,0,10,0,20,0,0,0,0,0,20,0,0,0,1,2,17,0,0,1,1,4,14
summer,Ashoknagar,test,after-gtb-b19,100,0.77,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,8,1,0,0,11,0,20,0,0,0,0,0,20,0,0,0,1,2,15,2,0,1,2,3,14
summer,Ashoknagar,test,after-gtb-b22,100,0.76,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,8,0,0,0,12,0,20,0,0,0,0,0,20,0,0,0,1,4,14,1,0,1,2,3,14
summer,Ashoknagar,test,after-gtb-b27,100,0.72,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,11,0,0,0,9,0,20,0,0,0,0,0,20,0,0,0,2,3,9,6,0,1,2,5,12
summer,Ashoknagar,test,after-knn,100,0.78,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,14,0,0,0,6,0,20,0,0,0,1,0,19,0,0,0,1,3,14,2,1,0,3,5,11
summer,Ashoknagar,test,after-rf,100,0.81,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,11,0,0,0,9,0,20,0,0,0,0,0,20,0,0,0,0,3,17,0,0,1,2,4,13
summer,Ashoknagar,test,after-svm,100,0.75,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,7,0,0,0,13,0,20,0,0,0,0,0,20,0,0,0,1,3,15,1,0,0,2,5,13
summer,Balaghat,test,after-cart,100,0.53,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,16,0,0,4,0,20,0,0,0,0,0,20,0,0,0,0,9,11,0,1,5,5,7,2
summer,Balaghat,test,after-gtb,100,0.67,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,2,5,0,0,13,0,20,0,0,0,0,0,20,0,0,0,1,2,16,1,0,2,3,6,9
summer,Balaghat,test,after-gtb-b19,100,0.6,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,7,0,0,13,0,20,0,0,0,0,0,20,0,0,0,0,1,15,4,0,5,3,7,5
summer,Balaghat,test,after-gtb-b22,100,0.59,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,1,7,0,0,12,0,20,0,0,0,0,0,20,0,0,0,0,2,12,6,0,4,3,7,6
summer,Balaghat,test,after-gtb-b27,100,0.55,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,1,7,0,0,12,0,20,0,0,0,0,0,20,0,0,0,1,1,10,8,0,5,3,8,4
summer,Balaghat,test,after-knn,100,0.64,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,20,0,20,0,0,0,0,1,19,0,0,0,1,1,17,1,1,0,5,6,8
summer,Balaghat,test,after-rf,100,0.6,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,13,0,0,7,0,20,0,0,0,0,0,20,0,0,0,0,2,17,1,1,5,3,8,3
summer,Balaghat,test,after-svm,100,0.69,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,1,0,0,0,19,0,20,0,0,0,0,0,20,0,0,0,0,1,19,0,0,0,3,8,9
summer,Barwani,development,after-cart,93,0.698925,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,1,0,0,0,12,0,20,0,0,0,0,0,20,0,0,0,2,2,16,0,2,0,3,7,8
summer,Barwani,development,after-gtb,93,0.774194,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,4,6,0,0,3,0,20,0,0,0,0,0,20,0,0,0,0,2,16,2,2,0,1,5,12
summer,Barwani,development,after-gtb-b19,93,0.741935,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,2,6,0,0,5,0,20,0,0,0,0,0,20,0,0,0,0,3,14,3,0,1,1,5,13
summer,Barwani,development,after-gtb-b22,93,0.752688,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,1,6,0,0,6,0,20,0,0,0,0,0,20,0,0,0,1,2,16,1,1,0,1,5,13
summer,Barwani,development,after-gtb-b27,93,0.763441,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,2,5,0,0,6,0,20,0,0,0,0,0,20,0,0,0,0,2,16,2,1,0,1,5,13
summer,Barwani,development,after-knn,93,0.709677,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,2,3,0,0,8,0,20,0,0,0,0,0,20,0,0,0,1,3,16,0,2,1,4,5,8
