district,role,block_id,centroid_lon,centroid_lat,split_rule,split_seed,winter_sample_n,winter_district_area_km2,winter_consensus_area_km2,summer_sample_n,summer_district_area_km2,summer_consensus_area_km2
Anuppur,test,"23,81",81.87188464941336,23.14838849845397,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,2030.76,918.58,100,2030.76,887.91
Ashoknagar,test,"24,77",77.86947266080182,24.6140087751459,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,4734.12,3481.09,100,4734.12,3464.37
Balaghat,test,"21,80",80.353635890571,21.8811744198852,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,9273.2,3381.13,100,9273.2,2888.57
Barwani,development,"21,75",75.02358824255565,21.789604343000928,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,5438.72,2224.99,93,5438.72,2231.81
Betul,test,"21,77",77.86697391111184,21.879593158910033,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,10094.74,4383.48,100,10094.74,4223.23
Bhind,test,"26,78",78.71501925299174,26.426351442081973,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,4480.76,3453.3,80,4480.76,3418.91
Bhopal,test,"23,77",77.39183938069466,23.48160223296459,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,2728.2,1870.85,100,2728.2,1864.79
Burhanpur,test,"21,76",76.36907034124708,21.374345723757074,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,3205.43,1301.67,80,3205.43,1297.24
Chhatarpur,test,"24,79",79.65644053722757,24.80181694418723,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,8731.56,5613.41,87,8731.56,5575.93
Chhindwara,test,"22,78",78.84984206159723,22.122910400282613,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,11835.37,5045.93,100,11835.37,4856.69
Damoh,development,"23,79",79.52041049257757,23.815624174424716,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,7370.29,3786.34,80,7370.29,3767.6
Datia,test,"25,78",78.6065900713664,25.845158624097415,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,2527.37,1953.22,100,2527.37,1931.1
Dewas,test,"22,76",76.4547274920456,22.748322342264835,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6974.17,4399.51,80,6974.17,4377.9
Dhar,test,"22,75",75.10493419277688,22.49985331322372,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,8154.94,5299.85,100,8154.94,5290.97
Dindori,training-withheld,"22,81",81.04620450297857,22.83489838644677,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6504.62,2677.9,100,6504.62,2072.17
East Nimar,test,"21,76",76.57006978592246,21.93865305978156,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,7464.41,4380.79,80,7464.41,3871.49
Guna,test,"24,77",77.19594379400334,24.558751293497192,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6310.7,4204.79,100,6310.7,4179.06
Gwalior,test,"26,78",78.13866513260696,26.045031010357405,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,4589.37,2413.03,80,4589.37,2410.9
Harda,development,"22,77",77.11812841964714,22.23704841468027,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,3323.03,2160.53,84,3323.03,2139.48
Hoshangabad,development,"22,77",77.98400051909114,22.591570673099472,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6725.46,3900.35,100,6725.46,3681.93
Indore,test,"22,75",75.78154048162952,22.71612568821088,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,3918.4,2761.9,100,3918.4,2748.59
Jabalpur,training-withheld,"23,79",79.94485797125574,23.174414430686724,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),88,4021.33,2335.91,86,4021.33,2338.74
Jhabua,development,"22,74",74.52257494936997,22.608633783327367,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6774.85,3245.4,100,6774.85,3225.04
Katni,training-withheld,"23,80",80.33438746591396,23.70362741634158,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),99,6177.83,3513.72,98,6177.83,3474.37
Mandla,training-withheld,"22,80",80.44756472320599,22.66579171856658,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6789.13,2634.29,100,6789.13,2435.68
Mandsaur,development,"24,75",75.40349777530055,24.21487363579272,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,5643.7,4075.29,100,5643.7,4003.06
Morena,test,"26,77",77.85997617888515,26.419260027076145,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,4993.91,2910.32,80,4993.91,2902.71
Narsinghpur,test,"22,79",79.08126585178974,22.93749217945753,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,5157.19,3088.36,100,5157.19,3018.1
Neemuch,development,"24,75",75.14311214751265,24.609102286736736,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,4163.27,1999.81,80,4163.27,1987.5
Panna,test,"24,80",80.18518573500597,24.42439001362313,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,7129.19,3311.53,83,7129.19,3297.52
Raisen,test,"23,78",78.11306784359175,23.220783332003855,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,8515.57,4939.4,94,8515.57,4872.59
Rajgarh,development,"23,76",76.73134715793786,23.865287193316522,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6134.21,4765.76,100,6134.21,4699.85
Ratlam,test,"23,75",75.08966406670683,23.504038648848944,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,4827.51,3395.75,80,4827.51,3387.81
Rewa,development,"24,81",81.58155660000621,24.758164997958364,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6327.7,3930.68,100,6327.7,3909.32
Sagar,test,"23,78",78.75339764353797,23.851458582839406,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,10275.83,6236.93,100,10275.83,6200.44
Satna,test,"24,80",80.8256946410381,24.535590771932664,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,7518.92,4378.83,100,7518.92,4366.7
Sehore,development,"22,77",77.125363070257,22.994723483398506,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6579.05,4658.24,100,6579.05,4642.07
Seoni,test,"22,79",79.68354362173999,22.316717847879666,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,8779.07,4295.72,100,8779.07,4253.73
Shahdol,test,"23,81",81.43328344386477,23.462294926311444,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,8337.89,3344.43,100,8337.89,3015.02
Shajapur,development,"23,76",76.3439359585831,23.58334447559148,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6306.52,4953.45,94,6306.52,4928.38
Sheopur,development,"25,77",77.0043741344239,25.757944626658883,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6537.31,2145.31,100,6537.31,2140.06
Shivpuri,development,"25,77",77.80632894323008,25.367633178954055,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,10487.45,5702.71,87,10487.45,5661.62
Sidhi,test,"24,82",82.14786393322431,24.220071109314734,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,10590.12,4008.56,100,10590.12,3559.9
Tikamgarh,development,"24,78",78.93986894049151,24.99275870186746,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,5076.99,3465.82,100,5076.99,3438.6
Ujjain,test,"23,75",75.66724033144459,23.335148289683087,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,6096.64,5264.89,80,6096.64,5255.52
Umaria,test,"23,80",80.91337396165548,23.60625683229289,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,3734.61,1412.95,100,3734.61,1267.47
Vidisha,test,"23,77",77.80852697827892,23.896737928724917,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,7319.59,5987.02,88,7319.59,5984.6
West Nimar,development,"21,75",75.77424906883226,21.922807591476417,(floor(lat)+floor(lon)) mod 3 == 0 -> development,none (deterministic),100,8064.99,4817.94,100,8064.99,4801.04
