code_commit,schema_versions,training_schema_version,fit_date_range,seed,run_id,season_trained,season_evaluated,model,feature_stack,hyperparameters,label_source,evaluation_population,selection_objective,influenced_a_choice,source_files
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-gtb,winter,winter,gtb,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-development-after-gtb,winter,winter,gtb,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-rf,winter,winter,rf,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-development-after-rf,winter,winter,rf,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-svm,winter,winter,svm,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-development-after-svm,winter,winter,svm,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-knn,winter,winter,knn,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-development-after-knn,winter,winter,knn,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-cart,winter,winter,cart,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-development-after-cart,winter,winter,cart,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-gtb-b19,winter,winter,gtb,b19,frozen winter selection,"5,000 project points, five-class v3 inventory",29 test districts,"feature-stack comparison, chosen on development",no (choice was made on development),mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-gtb-b22,winter,winter,gtb,b22,frozen winter selection,"5,000 project points, five-class v3 inventory",29 test districts,"feature-stack comparison, chosen on development",no (choice was made on development),mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-winter-test-after-gtb-b27,winter,winter,gtb,b27,frozen winter selection,"5,000 project points, five-class v3 inventory",29 test districts,"feature-stack comparison, chosen on development",no (choice was made on development),mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-test-after-gtb,summer,summer,gtb,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-development-after-gtb,summer,summer,gtb,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-test-after-rf,summer,summer,rf,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-development-after-rf,summer,summer,rf,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-test-after-svm,summer,summer,svm,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-development-after-svm,summer,summer,svm,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-test-after-knn,summer,summer,knn,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-development-after-knn,summer,summer,knn,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-test-after-cart,summer,summer,cart,sel19 (production),"frozen winter selection, Table: classifier settings","5,000 project points, five-class v3 inventory",29 test districts,none -- scored once after freezing,no,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-development-after-cart,summer,summer,cart,sel19 (production),frozen winter selection,"5,000 project points, five-class v3 inventory",15 development districts,classifier and hyperparameter choice,yes,mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-test-after-gtb-b19,summer,summer,gtb,b19,frozen winter selection,"5,000 project points, five-class v3 inventory",29 test districts,"feature-stack comparison, chosen on development",no (choice was made on development),mp_external_shards_v7_worker_*.json
b394786,five-class-19-band-v5-drop-summer,five-class-19-band-v5-drop-summer,2026-09-02T04:13:40.263395+00:00 .. 2026-09-02T04:31:20.851980+00:00,"Earth Engine defaults (GTB samplingRate 0.7, seed 0; RF seed 0)",v7-summer-test-after-gtb-b22,summer,summer,gtb,b22,frozen winter selection,"5,000 project points, five-class v3 inventory",29 test districts,"feature-stack comparison, chosen on development",no (choice was made on development),mp_external_shards_v7_worker_*.json
