run_id,season,population,model_key,districts,n,overall_accuracy,kappa,macro_f1,aggregation,uncertainty_method,source_files,vegetation_f1,vegetation_precision,vegetation_recall,water_f1,water_precision,water_recall,built_area_f1,built_area_precision,built_area_recall,open_land_f1,open_land_precision,open_land_recall,agriculture_f1,agriculture_precision,agriculture_recall
v7-winter-development-after-cart,winter,development,after-cart,15,1500,0.791333,0.739167,0.787402,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.766187,0.832031,0.71,0.961538,0.925926,1.0,0.798246,0.710938,0.91,0.727586,0.753571,0.703333,0.683453,0.742188,0.633333
v7-winter-development-after-gtb,winter,development,after-gtb,15,1500,0.871333,0.839167,0.870288,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.90493,0.958955,0.856667,0.977199,0.955414,1.0,0.849354,0.745592,0.986667,0.812057,0.867424,0.763333,0.807899,0.875486,0.75
v7-winter-development-after-gtb-b19,winter,development,after-gtb-b19,15,1500,0.857333,0.821667,0.85522,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.898246,0.948148,0.853333,0.967742,0.9375,1.0,0.840621,0.728606,0.993333,0.786885,0.86747,0.72,0.782609,0.857143,0.72
v7-winter-development-after-gtb-b22,winter,development,after-gtb-b22,15,1500,0.866,0.8325,0.864315,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.897527,0.954887,0.846667,0.972447,0.946372,1.0,0.853067,0.745636,0.996667,0.796396,0.866667,0.736667,0.802139,0.862069,0.75
v7-winter-development-after-gtb-b27,winter,development,after-gtb-b27,15,1500,0.869333,0.836667,0.867961,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.900175,0.948339,0.856667,0.974026,0.949367,1.0,0.849785,0.744361,0.99,0.802867,0.868217,0.746667,0.81295,0.882812,0.753333
v7-winter-development-after-knn,winter,development,after-knn,15,1500,0.844667,0.805833,0.842136,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.881944,0.92029,0.846667,0.970874,0.943396,1.0,0.820302,0.69697,0.996667,0.767486,0.886463,0.676667,0.770073,0.850806,0.703333
v7-winter-development-after-rf,winter,development,after-rf,15,1500,0.854667,0.818333,0.853194,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.861314,0.951613,0.786667,0.963082,0.928793,1.0,0.843023,0.747423,0.966667,0.807692,0.849265,0.77,0.790861,0.836431,0.75
v7-winter-development-after-svm,winter,development,after-svm,15,1500,0.865333,0.831667,0.863905,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.920962,0.950355,0.893333,0.978793,0.958466,1.0,0.829132,0.714976,0.986667,0.7718,0.870293,0.693333,0.818841,0.896825,0.753333
v7-winter-test-after-cart,winter,test,after-cart,29,2900,0.805517,0.756897,0.801073,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.829401,0.875479,0.787931,0.953947,0.91195,1.0,0.818598,0.733607,0.925862,0.728584,0.763705,0.696552,0.674835,0.744283,0.617241
v7-winter-test-after-gtb,winter,test,after-gtb,29,2900,0.874138,0.842672,0.872206,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.933687,0.958258,0.910345,0.981387,0.963455,1.0,0.856287,0.756614,0.986207,0.799639,0.839015,0.763793,0.790029,0.889849,0.710345
v7-winter-test-after-gtb-b19,winter,test,after-gtb-b19,29,2900,0.856552,0.82069,0.853861,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.921973,0.960748,0.886207,0.973928,0.950739,0.998276,0.843796,0.731646,0.996552,0.751412,0.827801,0.687931,0.778195,0.855372,0.713793
v7-winter-test-after-gtb-b22,winter,test,after-gtb-b22,29,2900,0.857586,0.821983,0.855231,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.919499,0.95539,0.886207,0.978903,0.958678,1.0,0.838054,0.723965,0.994828,0.765201,0.836401,0.705172,0.7745,0.864119,0.701724
v7-winter-test-after-gtb-b27,winter,test,after-gtb-b27,29,2900,0.854828,0.818534,0.852379,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.913824,0.953184,0.877586,0.976431,0.953947,1.0,0.83526,0.718905,0.996552,0.756398,0.84,0.687931,0.779981,0.862213,0.712069
v7-winter-test-after-knn,winter,test,after-knn,29,2900,0.852759,0.815948,0.849409,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.927637,0.938272,0.917241,0.970711,0.943089,1.0,0.823782,0.704657,0.991379,0.753122,0.850325,0.675862,0.771792,0.893424,0.67931
v7-winter-test-after-rf,winter,test,after-rf,29,2900,0.864483,0.830603,0.86294,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.906764,0.964981,0.855172,0.973154,0.947712,1.0,0.854545,0.762162,0.972414,0.802149,0.834264,0.772414,0.778087,0.843058,0.722414
v7-winter-test-after-svm,winter,test,after-svm,29,2900,0.863793,0.829741,0.861547,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.939716,0.967153,0.913793,0.977254,0.955519,1.0,0.835864,0.719801,0.996552,0.752607,0.835789,0.684483,0.802292,0.899358,0.724138
v7-summer-development-after-cart,summer,development,after-cart,15,1418,0.620592,0.520544,0.573223,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.401384,0.816901,0.266055,0.888889,0.8,1.0,0.71932,0.565966,0.986667,0.523191,0.589958,0.47,0.333333,0.404762,0.283333
v7-summer-development-after-gtb,summer,development,after-gtb,15,1418,0.752468,0.688192,0.739489,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.706553,0.932331,0.568807,0.921659,0.854701,1.0,0.842105,0.734491,0.986667,0.622144,0.657993,0.59,0.604982,0.648855,0.566667
v7-summer-development-after-gtb-b19,summer,development,after-gtb-b19,15,1418,0.702398,0.62456,0.681342,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.621118,0.961538,0.458716,0.911854,0.837989,1.0,0.834734,0.719807,0.993333,0.493256,0.584475,0.426667,0.545746,0.526316,0.566667
v7-summer-development-after-gtb-b22,summer,development,after-gtb-b22,15,1418,0.716502,0.642206,0.694088,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.585987,0.958333,0.422018,0.920245,0.852273,1.0,0.839437,0.726829,0.993333,0.568306,0.626506,0.52,0.556465,0.546624,0.566667
