season,contrast,districts,mean_district_oa_difference_pp,ci95_low_pp,ci95_high_pp,districts_leader_better,districts_comparator_better,districts_tied,abs_difference_ties,wilcoxon_p_raw,wilcoxon_method,wilcoxon_sided,wilcoxon_zero_method,family,holm_adjusted_p
winter,after-gtb - after-rf,29,0.9655172413793094,-1.1485065771984378e-15,1.9655172413793098,14,8,7,14,0.10299692461188234,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),winter: four classifier contrasts against the leading model,0.12485438725283099
winter,after-gtb - after-svm,29,1.0344827586206906,0.034482758620690834,2.0689655172413794,15,10,4,16,0.062427193626415495,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),winter: four classifier contrasts against the leading model,0.12485438725283099
winter,after-gtb - after-knn,29,2.137931034482759,1.1034482758620692,3.1724137931034484,23,5,1,17,0.0010545111408857475,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),winter: four classifier contrasts against the leading model,0.003163533422657242
winter,after-gtb - after-cart,29,6.86206896551724,5.517241379310344,8.275862068965518,28,1,0,13,1.1175870895385742e-08,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),winter: four classifier contrasts against the leading model,4.470348358154297e-08
winter,after-gtb - after-gtb-b19,29,1.7586206896551726,0.9999999999999993,2.517241379310346,21,4,4,17,0.0004183927808915508,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),winter: three feature-stack contrasts against the selected stack,0.0004183927808915508
winter,after-gtb - after-gtb-b22,29,1.6551724137931034,1.068965517241379,2.241379310344828,22,3,4,17,0.00016139020136186777,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),winter: three feature-stack contrasts against the selected stack,0.00032278040272373554
winter,after-gtb - after-gtb-b27,29,1.9310344827586212,1.2749999999999995,2.5862068965517246,23,3,3,19,9.896357544644688e-05,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),winter: three feature-stack contrasts against the selected stack,0.00029689072633934063
summer,after-gtb - after-rf,29,1.9670942733160997,0.5171634815122568,3.5502631557423565,15,7,7,6,0.018522652027235104,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),summer: four classifier contrasts against the leading model,0.018522652027235104
summer,after-gtb - after-svm,29,5.254706320827208,3.0295720988517827,7.555664100166375,21,5,3,3,0.0003759231581627214,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),summer: four classifier contrasts against the leading model,0.001127769474488164
summer,after-gtb - after-knn,29,4.223668132327791,2.1725774375939437,6.29420550754318,25,3,1,7,0.0008112749272818698,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),summer: four classifier contrasts against the leading model,0.0016225498545637397
summer,after-gtb - after-cart,29,12.45780308888643,10.37851178891792,14.52781204764411,29,0,0,8,3.725290298461914e-09,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),summer: four classifier contrasts against the leading model,1.4901161193847656e-08
summer,after-gtb - after-gtb-b19,29,4.913855353797429,3.539638381064467,6.418531282088962,27,2,0,7,3.725290298461914e-08,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),summer: three feature-stack contrasts against the selected stack,1.1175870895385742e-07
summer,after-gtb - after-gtb-b22,29,3.1570925685090763,1.8824515994414173,4.511130567828207,22,4,3,7,0.0002528313780500004,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),summer: three feature-stack contrasts against the selected stack,0.0005056627561000008
summer,after-gtb - after-gtb-b27,29,1.9171860153396805,0.48760195434368464,3.540760710662346,19,8,2,7,0.019531318185893362,asymptotic (normal approximation),two-sided,wilcox (zeros dropped),summer: three feature-stack contrasts against the selected stack,0.019531318185893362
