season,realisation,held_out_blocks,protocol,model,train_n,test_n,overall_accuracy,class_balanced_accuracy,kappa,reference_Veg.,reference_Water,reference_Built,reference_Open,reference_Agri.
winter,0,0|1|2,random,cart,4722,271,0.8523985239852399,0.8372710777707935,0.8132322536181943,68,57,47,59,40
winter,0,0|1|2,random,gtb,4722,271,0.9446494464944649,0.9393398732507219,0.9302169882579138,68,57,47,59,40
winter,0,0|1|2,random,knn,4722,271,0.9188191881918819,0.9135859219653468,0.8976919776919777,68,57,47,59,40
winter,0,0|1|2,random,rf,4722,271,0.9372693726937269,0.9306521495610222,0.9208691171418756,68,57,47,59,40
winter,0,0|1|2,random,svm,4722,271,0.933579335793358,0.9278899248503091,0.9162704474845088,68,57,47,59,40
winter,0,0|1|2,spatially_blocked,cart,4722,278,0.7769784172661871,0.7805122048819527,0.577404011180307,14,0,68,0,196
winter,0,0|1|2,spatially_blocked,gtb,4722,278,0.8776978417266187,0.7239895958383352,0.7250087280344466,14,0,68,0,196
winter,0,0|1|2,spatially_blocked,knn,4722,278,0.8561151079136691,0.8179271708683474,0.6997515930446053,14,0,68,0,196
winter,0,0|1|2,spatially_blocked,rf,4722,278,0.8489208633093526,0.7103841536614647,0.6703929539295395,14,0,68,0,196
winter,0,0|1|2,spatially_blocked,svm,4722,278,0.8669064748201439,0.8041216486594638,0.7151797087002272,14,0,68,0,196
winter,1,1|2|3,random,cart,3925,1074,0.8733705772811918,0.8744876345109034,0.8413921836264664,220,184,245,211,214
winter,1,1|2|3,random,gtb,3925,1074,0.9459962756052142,0.9464022059911599,0.9323587250533977,220,184,245,211,214
winter,1,1|2|3,random,knn,3925,1074,0.9338919925512105,0.9330923499005952,0.9171268376499382,220,184,245,211,214
winter,1,1|2|3,random,rf,3925,1074,0.9357541899441341,0.9367431227592726,0.9195464568023337,220,184,245,211,214
winter,1,1|2|3,random,svm,3925,1074,0.9366852886405959,0.9372397659786135,0.9207025498703566,220,184,245,211,214
winter,1,1|2|3,spatially_blocked,cart,3925,1075,0.7925581395348837,0.7776048138267715,0.6885875403839185,14,0,158,303,600
winter,1,1|2|3,spatially_blocked,gtb,3925,1075,0.8539534883720931,0.8088907936905806,0.769762689482817,14,0,158,303,600
winter,1,1|2|3,spatially_blocked,knn,3925,1075,0.8186046511627907,0.85891411383453,0.7244683899358835,14,0,158,303,600
winter,1,1|2|3,spatially_blocked,rf,3925,1075,0.8409302325581396,0.8403292720772981,0.7528988098278593,14,0,158,303,600
winter,1,1|2|3,spatially_blocked,svm,3925,1075,0.8716279069767442,0.868371692955914,0.7947599099074172,14,0,158,303,600
winter,2,2|3|4,random,cart,3099,1846,0.8651137594799566,0.8629065234858662,0.8312420353285382,379,386,354,375,352
winter,2,2|3|4,random,gtb,3099,1846,0.9447453954496208,0.9441071250873201,0.9309184458154538,379,386,354,375,352
winter,2,2|3|4,random,knn,3099,1846,0.9279523293607801,0.9272993279597271,0.9099286232086099,379,386,354,375,352
winter,2,2|3|4,random,rf,3099,1846,0.933911159263272,0.933121195740467,0.917375195315438,379,386,354,375,352
winter,2,2|3|4,random,svm,3099,1846,0.9393282773564464,0.9387192934025972,0.9241466627972973,379,386,354,375,352
winter,2,2|3|4,spatially_blocked,cart,3099,1901,0.7748553392951079,0.7453973598709894,0.6982033778099578,69,144,520,431,737
winter,2,2|3|4,spatially_blocked,gtb,3099,1901,0.8632298790110469,0.8358757318950063,0.8128770540989224,69,144,520,431,737
winter,2,2|3|4,spatially_blocked,knn,3099,1901,0.8332456601788533,0.8096232653582041,0.774367340275604,69,144,520,431,737
winter,2,2|3|4,spatially_blocked,rf,3099,1901,0.849026827985271,0.8128160092510275,0.7936883621732816,69,144,520,431,737
winter,2,2|3|4,spatially_blocked,svm,3099,1901,0.8705944239873751,0.8289104617184547,0.8214448259220116,69,144,520,431,737
winter,3,3|4|5,random,cart,1916,3062,0.8772044415414761,0.8773580397494364,0.8464983646039824,585,614,615,629,619
winter,3,3|4|5,random,gtb,1916,3062,0.9408883082952318,0.9410839339018748,0.9260992992912906,585,614,615,629,619
winter,3,3|4|5,random,knn,1916,3062,0.9232527759634226,0.9236383328862802,0.9040665813148946,585,614,615,629,619
winter,3,3|4|5,random,rf,1916,3062,0.9307642064010451,0.9308618618704058,0.9134376447247547,585,614,615,629,619
winter,3,3|4|5,random,svm,1916,3062,0.9372958850424559,0.9374513054575427,0.9216057758775185,585,614,615,629,619
winter,3,3|4|5,spatially_blocked,cart,1916,3084,0.8453307392996109,0.8530663915341717,0.8047440878751684,306,600,745,706,727
winter,3,3|4|5,spatially_blocked,gtb,1916,3084,0.9046692607003891,0.9053788170416281,0.8789340433978038,306,600,745,706,727
winter,3,3|4|5,spatially_blocked,knn,1916,3084,0.8897535667963683,0.8928694303865615,0.8603007605145806,306,600,745,706,727
winter,3,3|4|5,spatially_blocked,rf,1916,3084,0.8978599221789884,0.899318923563681,0.8704203754775903,306,600,745,706,727
winter,3,3|4|5,spatially_blocked,svm,1916,3084,0.9231517509727627,0.9238102879256909,0.9022960249661737,306,600,745,706,727
winter,4,4|5|6,random,cart,1756,3219,0.8788443616029823,0.8783747842550597,0.8485071910845611,668,619,636,657,639
winter,4,4|5|6,random,gtb,1756,3219,0.9434607020813918,0.943040726306499,0.9293054117757222,668,619,636,657,639
winter,4,4|5|6,random,knn,1756,3219,0.9269959614787201,0.9264639649592941,0.9087099668951215,668,619,636,657,639
winter,4,4|5|6,random,rf,1756,3219,0.9372475924200062,0.9369194556307414,0.9215361981526005,668,619,636,657,639
winter,4,4|5|6,random,svm,1756,3219,0.9422180801491147,0.9417801277041175,0.9277511178814699,668,619,636,657,639
winter,4,4|5|6,spatially_blocked,cart,1756,3244,0.6134401972872996,0.696434030729887,0.5356329076571822,936,680,735,493,400
winter,4,4|5|6,spatially_blocked,gtb,1756,3244,0.8683723797780518,0.8801514347560422,0.8341345681785634,936,680,735,493,400
winter,4,4|5|6,spatially_blocked,knn,1756,3244,0.87577065351418,0.8858835580209095,0.8432813044315314,936,680,735,493,400
winter,4,4|5|6,spatially_blocked,rf,1756,3244,0.8844019728729963,0.8935410326818614,0.8539526254251609,936,680,735,493,400
winter,4,4|5|6,spatially_blocked,svm,1756,3244,0.9019728729963009,0.9130471904057821,0.8761558556308946,936,680,735,493,400
winter,5,5|6|7,random,cart,2262,2738,0.8827611395178963,0.8831318759633817,0.8534746297471019,532,555,558,543,550
winter,5,5|6|7,random,gtb,2262,2738,0.9415631848064281,0.9417269153981815,0.9269485703461022,532,555,558,543,550
winter,5,5|6|7,random,knn,2262,2738,0.922936449963477,0.923152162687005,0.9036665756777438,532,555,558,543,550
