season,district,role,model_key,stored_n,rerun_n,stored_overall_accuracy,rerun_overall_accuracy,matrix_redistribution,identical
summer,Anuppur,test,after-cart,100,100,0.51,0.51,0,True
summer,Anuppur,test,after-gtb,100,100,0.64,0.66,4,False
summer,Anuppur,test,after-gtb-b19,100,100,0.61,0.61,0,True
summer,Anuppur,test,after-gtb-b22,100,100,0.64,0.62,5,False
summer,Anuppur,test,after-gtb-b27,100,100,0.62,0.64,6,False
summer,Anuppur,test,after-knn,100,100,0.56,0.56,0,True
summer,Anuppur,test,after-rf,100,100,0.57,0.57,0,True
summer,Anuppur,test,after-svm,100,100,0.64,0.64,0,True
summer,Ashoknagar,test,after-cart,100,100,0.66,0.66,0,True
summer,Ashoknagar,test,after-gtb,100,100,0.81,0.82,3,False
summer,Ashoknagar,test,after-gtb-b19,100,100,0.77,0.8,4,False
summer,Ashoknagar,test,after-gtb-b22,100,100,0.76,0.8,4,False
summer,Ashoknagar,test,after-gtb-b27,100,100,0.72,0.77,5,False
summer,Ashoknagar,test,after-knn,100,100,0.78,0.78,0,True
summer,Ashoknagar,test,after-rf,100,100,0.81,0.81,0,True
summer,Ashoknagar,test,after-svm,100,100,0.75,0.75,0,True
summer,Balaghat,test,after-cart,100,100,0.53,0.53,0,True
summer,Balaghat,test,after-gtb,100,100,0.67,0.66,3,False
summer,Balaghat,test,after-gtb-b19,100,100,0.6,0.61,1,False
summer,Balaghat,test,after-gtb-b22,100,100,0.59,0.61,7,False
summer,Balaghat,test,after-gtb-b27,100,100,0.55,0.62,9,False
summer,Balaghat,test,after-knn,100,100,0.64,0.64,0,True
summer,Balaghat,test,after-rf,100,100,0.6,0.6,0,True
summer,Balaghat,test,after-svm,100,100,0.69,0.69,0,True
summer,Barwani,development,after-cart,93,93,0.698925,0.698925,0,True
summer,Barwani,development,after-gtb,93,93,0.774194,0.774194,3,False
summer,Barwani,development,after-gtb-b19,93,93,0.741935,0.752688,4,False
summer,Barwani,development,after-gtb-b22,93,93,0.752688,0.741935,2,False
summer,Barwani,development,after-gtb-b27,93,93,0.763441,0.774194,2,False
summer,Barwani,development,after-knn,93,93,0.709677,0.709677,0,True
summer,Barwani,development,after-rf,93,93,0.752688,0.752688,0,True
summer,Barwani,development,after-svm,93,93,0.72043,0.72043,0,True
summer,Betul,test,after-cart,100,100,0.59,0.59,0,True
summer,Betul,test,after-gtb,100,100,0.65,0.66,1,False
summer,Betul,test,after-gtb-b19,100,100,0.62,0.62,3,False
summer,Betul,test,after-gtb-b22,100,100,0.63,0.63,6,False
summer,Betul,test,after-gtb-b27,100,100,0.66,0.67,2,False
summer,Betul,test,after-knn,100,100,0.63,0.63,0,True
summer,Betul,test,after-rf,100,100,0.65,0.65,0,True
summer,Betul,test,after-svm,100,100,0.65,0.65,0,True
summer,Bhind,test,after-cart,80,80,0.725,0.725,0,True
summer,Bhind,test,after-gtb,80,80,0.775,0.7625,1,False
summer,Bhind,test,after-gtb-b19,80,80,0.7,0.7125,6,False
summer,Bhind,test,after-gtb-b22,80,80,0.7,0.7125,2,False
summer,Bhind,test,after-gtb-b27,80,80,0.75,0.725,4,False
summer,Bhind,test,after-knn,80,80,0.675,0.675,0,True
summer,Bhind,test,after-rf,80,80,0.775,0.775,0,True
summer,Bhind,test,after-svm,80,80,0.7625,0.7625,0,True
summer,Bhopal,test,after-cart,100,100,0.64,0.64,0,True
summer,Bhopal,test,after-gtb,100,100,0.82,0.82,1,False
summer,Bhopal,test,after-gtb-b19,100,100,0.72,0.75,3,False
summer,Bhopal,test,after-gtb-b22,100,100,0.73,0.77,6,False
summer,Bhopal,test,after-gtb-b27,100,100,0.79,0.79,1,False
summer,Bhopal,test,after-knn,100,100,0.76,0.76,0,True
summer,Bhopal,test,after-rf,100,100,0.78,0.78,0,True
summer,Bhopal,test,after-svm,100,100,0.67,0.67,0,True
summer,Burhanpur,test,after-cart,80,80,0.6375,0.6375,0,True
summer,Burhanpur,test,after-gtb,80,80,0.8375,0.875,3,False
summer,Burhanpur,test,after-gtb-b19,80,80,0.8,0.8125,1,False
summer,Burhanpur,test,after-gtb-b22,80,80,0.8625,0.8625,1,False
summer,Burhanpur,test,after-gtb-b27,80,80,0.875,0.875,1,False
summer,Burhanpur,test,after-knn,80,80,0.825,0.825,0,True
