season,district,role,consensus_class,eligible_area_km2,sample_n,sampled,exclusion_reason,weight_scale_m
summer,Anuppur,test,Agriculture,878.7795,20,yes,,10
summer,Anuppur,test,Built Area,2.6521,20,yes,,10
summer,Anuppur,test,Open Land,6.2292,20,yes,,10
summer,Anuppur,test,Vegetation,0.0842,20,yes,,10
summer,Anuppur,test,Water,0.1614,20,yes,,10
summer,Ashoknagar,test,Agriculture,3414.2353,20,yes,,10
summer,Ashoknagar,test,Built Area,3.0929,20,yes,,10
summer,Ashoknagar,test,Open Land,3.1545,20,yes,,10
summer,Ashoknagar,test,Vegetation,0.0027,20,yes,,10
summer,Ashoknagar,test,Water,43.8886,20,yes,,10
summer,Balaghat,test,Agriculture,2818.3695,20,yes,,10
summer,Balaghat,test,Built Area,6.4464,20,yes,,10
summer,Balaghat,test,Open Land,13.7336,20,yes,,10
summer,Balaghat,test,Vegetation,39.6405,20,yes,,10
summer,Balaghat,test,Water,10.3797,20,yes,,10
summer,Barwani,development,Agriculture,2153.8575,20,yes,,10
summer,Barwani,development,Built Area,8.4701,20,yes,,10
summer,Barwani,development,Open Land,18.9772,20,yes,,10
summer,Barwani,development,Vegetation,0.0012,13,yes,,10
summer,Barwani,development,Water,50.503,20,yes,,10
summer,Betul,test,Agriculture,4202.1116,20,yes,,10
summer,Betul,test,Built Area,11.3885,20,yes,,10
summer,Betul,test,Open Land,3.3078,20,yes,,10
summer,Betul,test,Vegetation,2.8859,20,yes,,10
summer,Betul,test,Water,3.5395,20,yes,,10
summer,Bhind,test,Agriculture,3388.0872,20,yes,,10
summer,Bhind,test,Built Area,10.4985,20,yes,,10
summer,Bhind,test,Open Land,12.8449,20,yes,,10
summer,Bhind,test,Vegetation,0.0,0,no,no consensus pixel of this class cleared the 20-point quota,10
summer,Bhind,test,Water,7.478,20,yes,,10
summer,Bhopal,test,Agriculture,1804.9054,20,yes,,10
summer,Bhopal,test,Built Area,36.399,20,yes,,10
summer,Bhopal,test,Open Land,2.6367,20,yes,,10
summer,Bhopal,test,Vegetation,0.0213,20,yes,,10
summer,Bhopal,test,Water,20.8303,20,yes,,10
summer,Burhanpur,test,Agriculture,1285.2594,20,yes,,10
summer,Burhanpur,test,Built Area,6.9266,20,yes,,10
summer,Burhanpur,test,Open Land,2.4922,20,yes,,10
summer,Burhanpur,test,Vegetation,0.0,0,no,no consensus pixel of this class cleared the 20-point quota,10
summer,Burhanpur,test,Water,2.5578,20,yes,,10
summer,Chhatarpur,test,Agriculture,5562.4908,20,yes,,10
summer,Chhatarpur,test,Built Area,3.1354,20,yes,,10
summer,Chhatarpur,test,Open Land,7.7884,20,yes,,10
summer,Chhatarpur,test,Vegetation,0.0006,7,yes,,10
